"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.3405752027493e-111,7.3838914488719,0.255,0.002,8.39453142698871e-107,"26","Mirg"
3.30612805626102e-166,9.97756165525375,0.37,0.001,8.30796919257831e-162,"27","Klk1b27"
0,9.93675691870848,0.9,0.006,0,"27","Ccr9"
2.96439387504748e-323,9.71920025889493,0.693,0.001,7.44922536860681e-319,"27","Gm21762"
0,9.64407934333055,0.774,0.004,0,"27","Cox6a2"
1.56928917739127e-143,9.21164202033387,0.326,0.001,3.94346677386651e-139,"27","Havcr1"
0,8.97939909016339,0.756,0.003,0,"27","Cd300c"
2.46260527551989e-212,8.9066869911635,0.47,0.001,6.18828079685394e-208,"27","Foxr1"
5.77685816701844e-236,8.78576100221846,0.526,0.001,1.45166668879006e-231,"27","Atp2a1"
0,8.70557187703315,0.907,0.014,0,"27","Siglech"
1.67499804919479e-279,7.82897974383298,0.633,0.004,4.2091025978216e-275,"27","Eldr"
0,7.03950368893128,0.919,0.027,0,"28","Hist1h1b"
1.91200169895016e-225,6.87517972894253,0.547,0.006,4.80466906929187e-221,"28","Hist1h2bm"
1.21122264112719e-127,6.76912298078745,0.318,0.003,3.04368137488851e-123,"28","Hist1h2an"
1.13040619179625e-139,6.7690077753246,0.332,0.003,2.84059771936481e-135,"28","Hist1h3b"
3.99937841803049e-227,6.70688503099893,0.552,0.006,1.00500380266688e-222,"28","Hist1h2bj"
0,6.55665434691034,0.848,0.012,0,"28","Hist1h3c"
1.41137572618999e-186,6.52454183945264,0.462,0.005,3.54664606234283e-182,"28","Mxd3"
7.00593338489294e-268,6.52246173844555,0.673,0.008,1.76052100028975e-263,"28","Hist1h2ab"
1.34288198653262e-316,6.45812369315273,0.843,0.028,3.37452814395782e-312,"28","Hist1h2ap"
2.16805802821031e-171,6.45375102776488,0.404,0.005,5.44811301908969e-167,"28","Hist1h2bn"
0,8.3130057853033,0.981,0.006,0,"29","Neurod1"
0,8.19255712681072,0.854,0.004,0,"29","Neurog1"
2.02429328589604e-209,8.07084218777935,0.481,0.002,5.08684659812817e-205,"29","Clvs1"
9.08080579697314e-302,7.8801783196616,0.703,0.003,2.28191568872138e-297,"29","Btbd17"
0,7.65037608342757,0.905,0.009,0,"29","Scg2"
3.34836819983629e-301,7.38810804070116,0.722,0.005,8.41411444936861e-297,"29","St18"
0,7.19015561929526,0.867,0.009,0,"29","Stil"
6.14692938376886e-231,7.18612616232623,0.589,0.005,1.54466188484728e-226,"29","Miat"
0,7.1579756637842,0.987,0.024,0,"29","Cenpf"
6.30988827811273e-100,7.1530697813722,0.253,0.002,1.58561182540695e-95,"29","Elovl2"
